# large recoil, bin width 0.5 GeV^2
# B->Kll::Gamma@LargeRecoil: form-factors=KMPW2010,model=SM
# s_min	s_max	central	delta_min	delta_max	delta_min	delta_max
1	1.5	7.37053e-21	0	0	0	0   (-0% / +0%)
# B->Kll::F_H@LargeRecoil: form-factors=KMPW2010,model=SM
# s_min	s_max	central	delta_min	delta_max	delta_min	delta_max
1	1.5	0.0547867	0	0	0	0   (-0% / +0%)
# B->Kll::Gamma@LargeRecoil: form-factors=KMPW2010,model=SM
# s_min	s_max	central	delta_min	delta_max	delta_min	delta_max
1.5	2	7.33941e-21	0	0	0	0   (-0% / +0%)
# B->Kll::F_H@LargeRecoil: form-factors=KMPW2010,model=SM
# s_min	s_max	central	delta_min	delta_max	delta_min	delta_max
1.5	2	0.0395331	0	0	0	0   (-0% / +0%)
# B->Kll::Gamma@LargeRecoil: form-factors=KMPW2010,model=SM
# s_min	s_max	central	delta_min	delta_max	delta_min	delta_max
2	2.5	7.30891e-21	0	0	0	0   (-0% / +0%)
# B->Kll::F_H@LargeRecoil: form-factors=KMPW2010,model=SM
# s_min	s_max	central	delta_min	delta_max	delta_min	delta_max
2	2.5	0.03111	0	0	0	0   (-0% / +0%)
# B->Kll::Gamma@LargeRecoil: form-factors=KMPW2010,model=SM
# s_min	s_max	central	delta_min	delta_max	delta_min	delta_max
2.5	3	7.27793e-21	0	0	0	0   (-0% / +0%)
# B->Kll::F_H@LargeRecoil: form-factors=KMPW2010,model=SM
# s_min	s_max	central	delta_min	delta_max	delta_min	delta_max
2.5	3	0.0257608	0	0	0	0   (-0% / +0%)
# B->Kll::Gamma@LargeRecoil: form-factors=KMPW2010,model=SM
# s_min	s_max	central	delta_min	delta_max	delta_min	delta_max
3	3.5	7.24575e-21	0	0	0	0   (-0% / +0%)
# B->Kll::F_H@LargeRecoil: form-factors=KMPW2010,model=SM
# s_min	s_max	central	delta_min	delta_max	delta_min	delta_max
3	3.5	0.0220614	0	0	0	0   (-0% / +0%)
# B->Kll::Gamma@LargeRecoil: form-factors=KMPW2010,model=SM
# s_min	s_max	central	delta_min	delta_max	delta_min	delta_max
3.5	4	7.2119e-21	0	0	0	0   (-0% / +0%)
# B->Kll::F_H@LargeRecoil: form-factors=KMPW2010,model=SM
# s_min	s_max	central	delta_min	delta_max	delta_min	delta_max
3.5	4	0.0193508	0	0	0	0   (-0% / +0%)
# B->Kll::Gamma@LargeRecoil: form-factors=KMPW2010,model=SM
# s_min	s_max	central	delta_min	delta_max	delta_min	delta_max
4	4.5	7.17608e-21	0	0	0	0   (-0% / +0%)
