# large recoil, bin width 0.5 GeV^2
# B->K^*ll::Gamma@LargeRecoil: form-factors=KMPW2010,model=SM
# s_min	s_max	central	delta_min	delta_max	delta_min	delta_max
1	1.5	1.02644e-20	0	0	0	0   (-0% / +0%)
# B->K^*ll::J_1c@LargeRecoil: form-factors=KMPW2010,model=SM
# s_min	s_max	central	delta_min	delta_max	delta_min	delta_max
1	1.5	4.27062e-21	0	0	0	0   (-0% / +0%)
# B->K^*ll::J_1s@LargeRecoil: form-factors=KMPW2010,model=SM
# s_min	s_max	central	delta_min	delta_max	delta_min	delta_max
1	1.5	2.61521e-21	0	0	0	0   (-0% / +0%)
# B->K^*ll::J_2c@LargeRecoil: form-factors=KMPW2010,model=SM
# s_min	s_max	central	delta_min	delta_max	delta_min	delta_max
1	1.5	-3.95853e-21	0	0	0	0   (-0% / +0%)
# B->K^*ll::J_2s@LargeRecoil: form-factors=KMPW2010,model=SM
# s_min	s_max	central	delta_min	delta_max	delta_min	delta_max
1	1.5	8.34196e-22	0	0	0	0   (-0% / +0%)
# B->K^*ll::J_3@LargeRecoil: form-factors=KMPW2010,model=SM
# s_min	s_max	central	delta_min	delta_max	delta_min	delta_max
1	1.5	2.91184e-24	0	0	0	0   (-0% / +0%)
# B->K^*ll::J_4@LargeRecoil: form-factors=KMPW2010,model=SM
# s_min	s_max	central	delta_min	delta_max	delta_min	delta_max
1	1.5	-6.11026e-22	0	0	0	0   (-0% / +0%)
# B->K^*ll::J_5@LargeRecoil: form-factors=KMPW2010,model=SM
# s_min	s_max	central	delta_min	delta_max	delta_min	delta_max
1	1.5	1.76019e-21	0	0	0	0   (-0% / +0%)
# B->K^*ll::J_6s@LargeRecoil: form-factors=KMPW2010,model=SM
# s_min	s_max	central	delta_min	delta_max	delta_min	delta_max
1	1.5	2.19934e-21	0	0	0	0   (-0% / +0%)
# B->K^*ll::J_6c@LargeRecoil: form-factors=KMPW2010,model=SM
# s_min	s_max	central	delta_min	delta_max	delta_min	delta_max
1	1.5	0	0	0	0	0   (-nan% / +nan%)
# B->K^*ll::J_7@LargeRecoil: form-factors=KMPW2010,model=SM
# s_min	s_max	central	delta_min	delta_max	delta_min	delta_max
1	1.5	2.86354e-22	0	0	0	0   (-0% / +0%)
# B->K^*ll::J_8@LargeRecoil: form-factors=KMPW2010,model=SM
# s_min	s_max	central	delta_min	delta_max	delta_min	delta_max
1	1.5	-7.33503e-23	0	0	0	0   (-0% / +0%)
# B->K^*ll::J_9@LargeRecoil: form-factors=KMPW2010,model=SM
# s_min	s_max	central	delta_min	delta_max	delta_min	delta_max
1	1.5	1.61465e-24	0	0	0	0   (-0% / +0%)
# B->K^*ll::Gamma@LargeRecoil: form-factors=KMPW2010,model=SM
# s_min	s_max	central	delta_min	delta_max	delta_min	delta_max
1.5	2	8.58705e-21	0	0	0	0   (-0% / +0%)
# B->K^*ll::J_1c@LargeRecoil: form-factors=KMPW2010,model=SM
# s_min	s_max	central	delta_min	delta_max	delta_min	delta_max
1.5	2	4.37396e-21	0	0	0	0   (-0% / +0%)
# B->K^*ll::J_1s@LargeRecoil: form-factors=KMPW2010,model=SM
# s_min	s_max	central	delta_min	delta_max	delta_min	delta_max
1.5	2	1.58924e-21	0	0	0	0   (-0% / +0%)
# B->K^*ll::J_2c@LargeRecoil: form-factors=KMPW2010,model=SM
# s_min	s_max	central	delta_min	delta_max	delta_min	delta_max
1.5	2	-4.137e-21	0	0	0	0   (-0% / +0%)
# B->K^*ll::J_2s@LargeRecoil: form-factors=KMPW2010,model=SM
# s_min	s_max	central	delta_min	delta_max	delta_min	delta_max
1.5	2	5.16584e-22	0	0	0	0   (-0% / +0%)
# B->K^*ll::J_3@LargeRecoil: form-factors=KMPW2010,model=SM
# s_min	s_max	central	delta_min	delta_max	delta_min	delta_max
1.5	2	-1.43724e-24	0	0	0	0   (-0% / +0%)
# B->K^*ll::J_4@LargeRecoil: form-factors=KMPW2010,model=SM
# s_min	s_max	central	delta_min	delta_max	delta_min	delta_max
1.5	2	-1.93497e-22	0	0	0	0   (-0% / +0%)
# B->K^*ll::J_5@LargeRecoil: form-factors=KMPW2010,model=SM
# s_min	s_max	central	delta_min	delta_max	delta_min	delta_max
1.5	2	8.58571e-22	0	0	0	0   (-0% / +0%)
# B->K^*ll::J_6s@LargeRecoil: form-factors=KMPW2010,model=SM
# s_min	s_max	central	delta_min	delta_max	delta_min	delta_max
1.5	2	1.86214e-21	0	0	0	0   (-0% / +0%)
# B->K^*ll::J_6c@LargeRecoil: form-factors=KMPW2010,model=SM
# s_min	s_max	central	delta_min	delta_max	delta_min	delta_max
1.5	2	0	0	0	0	0   (-nan% / +nan%)
# B->K^*ll::J_7@LargeRecoil: form-factors=KMPW2010,model=SM
# s_min	s_max	central	delta_min	delta_max	delta_min	delta_max
1.5	2	2.54866e-22	0	0	0	0   (-0% / +0%)
# B->K^*ll::J_8@LargeRecoil: form-factors=KMPW2010,model=SM
# s_min	s_max	central	delta_min	delta_max	delta_min	delta_max
